This file was created by CMPT_ME_BEME_RETS using the 202105 CRSP database.,,,,
The 1-month TBill return is from Ibbotson and Associates, Inc.,,,
6/30/1926,,,,
Date,Mkt-RF,SMB,HML,RF
6/30/2010,-5.57,-1.84,-4.52,0.01
7/31/2010,6.93,0.18,-0.36,0.01
8/31/2010,-4.77,-3.02,-1.9,0.01
9/30/2010,9.54,3.93,-3.23,0.01
10/31/2010,3.88,1.07,-2.46,0.01
11/30/2010,0.6,3.78,-0.95,0.01
12/31/2010,6.82,0.68,3.64,0.01
1/31/2011,1.99,-2.52,0.82,0.01
2/28/2011,3.49,1.53,1.29,0.01
3/31/2011,0.46,2.58,-1.76,0.01
4/30/2011,2.9,-0.37,-2.43,0
5/31/2011,-1.27,-0.58,-2.05,0
6/30/2011,-1.75,-0.11,-0.42,0
7/31/2011,-2.35,-1.37,-0.88,0
8/31/2011,-5.99,-3.03,-2.56,0.01
9/30/2011,-7.59,-3.35,-1.71,0
10/31/2011,11.35,3.32,0.13,0
11/30/2011,-0.28,-0.14,-0.48,0
12/31/2011,0.74,-0.66,1.68,0
1/31/2012,5.05,2.1,-0.9,0
2/29/2012,4.42,-1.84,0.46,0
3/31/2012,3.11,-0.68,1.21,0
4/30/2012,-0.85,-0.39,-0.77,0
5/31/2012,-6.19,0.16,-1.04,0.01
6/30/2012,3.89,0.78,0.58,0
7/31/2012,0.79,-2.62,-0.05,0
8/31/2012,2.55,0.47,1.12,0.01
9/30/2012,2.73,0.49,1.56,0.01
10/31/2012,-1.76,-1.09,3.61,0.01
11/30/2012,0.78,0.53,-0.83,0.01
12/31/2012,1.18,1.45,3.53,0.01
1/31/2013,5.57,0.36,0.98,0
2/28/2013,1.29,-0.42,0.13,0
3/31/2013,4.03,0.75,-0.23,0
4/30/2013,1.55,-2.4,0.53,0
5/31/2013,2.8,1.66,2.61,0
6/30/2013,-1.2,1.16,-0.09,0
7/31/2013,5.65,1.86,0.56,0
8/31/2013,-2.71,0.29,-2.66,0
9/30/2013,3.77,2.89,-1.15,0
10/31/2013,4.18,-1.53,1.21,0
11/30/2013,3.13,1.19,0.29,0
12/31/2013,2.81,-0.59,-0.05,0
1/31/2014,-3.32,0.87,-2.02,0
2/28/2014,4.65,0.31,-0.36,0
3/31/2014,0.43,-1.85,4.9,0
4/30/2014,-0.19,-4.21,1.12,0
5/31/2014,2.06,-1.9,-0.12,0
6/30/2014,2.61,3.08,-0.67,0
7/31/2014,-2.04,-4.27,0.02,0
8/31/2014,4.24,0.36,-0.42,0
9/30/2014,-1.97,-3.73,-1.38,0
10/31/2014,2.52,4.28,-1.8,0
11/30/2014,2.55,-2.04,-3.07,0
12/31/2014,-0.06,2.48,2.23,0
1/31/2015,-3.11,-0.51,-3.56,0
2/28/2015,6.14,0.52,-1.81,0
3/31/2015,-1.12,3.02,-0.41,0
4/30/2015,0.59,-3.04,1.88,0
5/31/2015,1.36,0.89,-1.1,0
6/30/2015,-1.53,2.85,-0.74,0
7/31/2015,1.54,-4.09,-4.21,0
8/31/2015,-6.04,0.44,2.73,0
9/30/2015,-3.07,-2.61,0.39,0
10/31/2015,7.75,-1.98,-0.25,0
11/30/2015,0.56,3.68,-0.49,0
12/31/2015,-2.17,-2.86,-2.45,0.01
1/31/2016,-5.77,-3.36,2.01,0.01
2/29/2016,-0.08,0.83,-0.59,0.02
3/31/2016,6.96,0.82,1.11,0.02
4/30/2016,0.92,0.69,3.28,0.01
5/31/2016,1.78,-0.27,-1.6,0.01
6/30/2016,-0.05,0.64,-1.4,0.02
7/31/2016,3.95,2.6,-1.23,0.02
8/31/2016,0.5,1.13,3.31,0.02
9/30/2016,0.25,2.04,-1.21,0.02
10/31/2016,-2.02,-4.43,4.07,0.02
11/30/2016,4.86,5.47,8.22,0.01
12/31/2016,1.82,0.11,3.51,0.03
1/31/2017,1.94,-1.06,-2.81,0.04
2/28/2017,3.57,-2.01,-1.79,0.04
3/31/2017,0.17,1.17,-3.33,0.03
4/30/2017,1.09,0.72,-2.11,0.05
5/31/2017,1.06,-2.61,-3.67,0.06
6/30/2017,0.78,2.15,1.45,0.06
7/31/2017,1.87,-1.47,-0.36,0.07
8/31/2017,0.16,-1.62,-2.19,0.09
9/30/2017,2.51,4.47,3.14,0.09
10/31/2017,2.25,-1.95,0.12,0.09
11/30/2017,3.12,-0.58,-0.09,0.08
12/31/2017,1.06,-1.29,0.17,0.09
1/31/2018,5.58,-3.09,-1.32,0.11
2/28/2018,-3.65,0.3,-1.01,0.11
3/31/2018,-2.35,4.05,-0.12,0.12
4/30/2018,0.29,1.13,0.5,0.14
5/31/2018,2.65,5.28,-3.15,0.14
6/30/2018,0.48,1.19,-2.31,0.14
7/31/2018,3.19,-2.21,0.57,0.16
8/31/2018,3.44,1.15,-3.92,0.16
9/30/2018,0.06,-2.28,-1.63,0.15
10/31/2018,-7.68,-4.78,3.46,0.19
11/30/2018,1.69,-0.71,0.34,0.18
12/31/2018,-9.55,-2.48,-1.89,0.19
1/31/2019,8.41,2.89,-0.46,0.21
2/28/2019,3.4,2.12,-2.71,0.18
3/31/2019,1.1,-3.05,-4.19,0.19
4/30/2019,3.96,-1.75,2.02,0.21
5/31/2019,-6.94,-1.18,-2.28,0.21
6/30/2019,6.93,0.22,-0.79,0.18
7/31/2019,1.19,-2.08,0.34,0.19
8/31/2019,-2.58,-2.4,-4.85,0.16
9/30/2019,1.43,-1.05,6.77,0.18
10/31/2019,2.06,0.24,-1.88,0.15
11/30/2019,3.87,0.91,-2.05,0.12
12/31/2019,2.77,0.67,1.91,0.14
1/31/2020,-0.11,-3.08,-6.27,0.13
2/29/2020,-8.13,1.02,-3.92,0.12
3/31/2020,-13.38,-5.03,-13.96,0.12
4/30/2020,13.65,2.75,-1.39,0
5/31/2020,5.58,2.49,-5.05,0.01
6/30/2020,2.46,2.71,-2.35,0.01
7/31/2020,5.77,-2.18,-1.39,0.01
8/31/2020,7.63,-0.25,-2.94,0.01
9/30/2020,-3.63,0.06,-2.51,0.01
10/31/2020,-2.1,4.44,4.03,0.01
11/30/2020,12.47,5.48,2.11,0.01
12/31/2020,4.63,4.81,-1.36,0.01
1/31/2021,-0.03,7.19,2.85,0
2/28/2021,2.78,2.11,7.08,0
3/31/2021,3.08,-2.48,7.4,0
4/30/2021,4.93,-3.09,-0.74,0
5/31/2021,0.29,-0.22,7.05,0
,,,,
 Annual Factors: January-December ,,,,
,Mkt-RF,SMB,HML,RF
1927,29.47,-2.46,-3.75,3.12
1928,35.39,4.41,-5.83,3.56
1929,-19.54,-30.78,11.96,4.75
1930,-31.23,-5.19,-12.29,2.41
1931,-45.11,3.51,-14.32,1.07
1932,-9.39,4.91,10.49,0.96
1933,57.05,48.86,28.15,0.3
1934,3.02,25.43,-27.38,0.16
1935,44.96,9.99,9.78,0.17
1936,32.07,17.89,35.86,0.18
1937,-34.96,-14,-3.97,0.31
1938,28.48,9.35,-12.18,-0.02
1939,2.7,5.85,-19.17,0.02
1940,-7.14,0.79,-0.82,0
1941,-10.53,-4.04,11.13,0.06
1942,16.2,5.05,19.87,0.27
1943,27.96,33.35,38.97,0.35
1944,20.97,17.98,15.61,0.33
1945,38.38,25.56,11.4,0.33
1946,-6.73,-3.79,2.98,0.35
1947,2.95,-7.08,9.76,0.5
1948,1.07,-9.14,3.52,0.81
1949,19.12,3.93,-4.55,1.1
1950,28.82,0.93,27.01,1.2
1951,19.22,-4.93,-5.95,1.49
1952,11.8,-6.71,3.44,1.66
1953,-1.05,-1.17,-7.72,1.82
1954,49.35,-2.18,26.2,0.86
1955,23.75,-6.04,4.79,1.57
1956,5.9,-0.91,-2.03,2.46
1957,-13.16,-2.84,-6.15,3.14
1958,43.45,14.71,13.5,1.54
1959,9.76,5.61,1.47,2.95
1960,-1.46,-2.84,-4.4,2.66
1961,24.81,1.35,5.51,2.13
1962,-12.9,-8.32,8.92,2.73
1963,17.84,-6.02,15.75,3.12
1964,12.54,-1.11,10,3.54
1965,10.52,21.87,7.23,3.93
1966,-13.51,2.7,-0.84,4.76
1967,24.49,50.31,-7.6,4.21
1968,8.79,24.42,18.37,5.21
1969,-17.54,-13.97,-10.09,6.58
1970,-6.49,-11.81,21.49,6.52
1971,11.78,5.59,-11.19,4.39
1972,13.05,-11.9,1.49,3.84
1973,-26.19,-23.39,17.92,6.93
1974,-35.75,-0.74,9.71,8
1975,32.44,15.29,9.39,5.8
1976,21.91,14.69,24.45,5.08
1977,-8.26,22.93,7.44,5.12
1978,1.03,14.4,0.31,7.18
1979,13.09,21.17,-2.36,10.38
1980,22.13,5.51,-25.03,11.24
1981,-18.13,7.22,25.02,14.71
1982,10.66,8.85,13.37,10.54
1983,13.74,13.62,20.76,8.8
1984,-6.05,-8.38,19.6,9.85
1985,24.91,0.17,1.39,7.72
1986,10.12,-9.67,9.26,6.16
1987,-3.87,-11,-1.72,5.47
1988,11.55,5.88,14.81,6.35
1989,20.49,-12.7,-4.22,8.37
1990,-13.95,-14.17,-10.2,7.81
1991,29.18,16.1,-14.39,5.6
1992,6.23,7.54,24.58,3.51
1993,8.21,6.37,17.14,2.9
1994,-4.1,-0.45,-0.94,3.9
1995,31.22,-10.24,6.42,5.6
1996,15.96,-4.41,8.24,5.21
1997,25.96,-8.12,19.36,5.26
1998,19.46,-25.62,-9.88,4.86
1999,20.57,15.18,-31.63,4.68
2000,-17.6,-5.17,46.07,5.89
2001,-15.2,18.26,18.67,3.83
2002,-22.76,3.95,8.2,1.65
2003,30.75,25.99,4.06,1.02
2004,10.72,4.18,7.47,1.2
2005,3.09,-2.49,9.63,2.98
2006,10.6,0.17,12.12,4.8
2007,1.04,-6.93,-17.02,4.66
2008,-38.34,2.8,0.57,1.6
2009,28.26,9.56,-9.21,0.1
2010,17.37,13.9,-5.33,0.12
2011,0.44,-5.79,-8.4,0.04
2012,16.27,-1.02,9.97,0.06
2013,35.2,6.85,2.53,0.02
2014,11.71,-7.94,-1.52,0.02
2015,0.08,-3.96,-9.5,0.02
2016,13.3,6.53,22.86,0.2
2017,21.51,-4.96,-13.84,0.8
2018,-6.93,-3.15,-9.34,1.81
2019,28.28,-6.26,-10.68,2.14
2020,23.67,13.07,-47.2,0.44
,,,,
Copyright 2021 Kenneth R. French,,,,
